User_Location,User_City,User_State,Review_Rating,review_count,Is_CTR,Lon,Lat
"San Francisco, CA",San Francisco,CA,1,22,0,-122.41964,37.77712
"Washington, DC",Washington,DC,1,20,1,-77.03196,38.89037
"San Diego, CA",San Diego,CA,1,11,0,-117.16171,32.71568
"Okemos, MI",Okemos,MI,1,8,0,-84.43004,42.71545
"Manhattan, NY",Manhattan,NY,1,8,0,-74.00601,40.7145
"Beverly Hills, CA",Beverly Hills,CA,1,7,0,-118.40046,34.0736
"Chandler, AZ",Chandler,AZ,1,6,0,-111.84083,33.30338
"Phoenix, AZ",Phoenix,AZ,1,5,0,-112.0758,33.44825
"Chicago, IL",Chicago,IL,1,5,0,-87.63245,41.88425
"Austin, TX",Austin,TX,1,5,0,-97.74299,30.26759
"Vancouver, WA",Vancouver,WA,1,5,0,-122.67156,45.63221
"Alameda, CA",Alameda,CA,1,4,0,-122.24584,37.76707
"Dallas, TX",Dallas,TX,1,4,0,-96.79512,32.77822
"Tempe, AZ",Tempe,AZ,1,3,0,-111.93724,33.42551
"Corona, CA",Corona,CA,1,3,0,-117.57483,33.87925
"Los Angeles, CA",Los Angeles,CA,1,3,0,-118.2455,34.05361
"New York, NY",New York,NY,1,3,0,-74.00714,40.71455
"Portland, OR",Portland,OR,1,3,0,-122.67563,45.51179
"Arlington, VA",Arlington,VA,1,3,0,-77.08629,38.8905
"Springfield, VA",Springfield,VA,1,3,0,-77.19166,38.77917
"Pasadena, CA",Pasadena,CA,1,2,0,-118.14427,34.14745
"San Jose, CA",San Jose,CA,1,2,0,-121.88542,37.33865
"Aurora, CO",Aurora,CO,1,2,0,-104.81458,39.70932
"Fort Lauderdale, FL",Fort Lauderdale,FL,1,2,0,-80.14357,26.12388
"Port St. Lucie, FL",Port St. Lucie,FL,1,2,0,-80.36367,27.27481
"Crown Point, IN",Crown Point,IN,1,2,0,-87.36317,41.41895
"Junction City, KS",Junction City,KS,1,2,0,-96.83046,39.02826
"Columbia, MO",Columbia,MO,1,2,0,-92.33415,38.95252
"Las Vegas, NV",Las Vegas,NV,1,2,0,-115.14001,36.17193
"Las Vegas, NV",Las Vegas,NV,1,2,0,-115.14001,36.17193
"Liverpool, NY",Liverpool,NY,1,2,0,-76.20965,43.10424
"Liverpool, NY",Liverpool,NY,1,2,0,-76.20965,43.10424
"Corpus Christi, TX",Corpus Christi,TX,1,2,0,-97.40374,27.79641
"McLean, VA",McLean,VA,1,2,0,-77.18493,38.93681
"Fayetteville, AR",Fayetteville,AR,1,1,0,-94.15791,36.0632
"Gilbert, AZ",Gilbert,AZ,1,1,0,-111.79026,33.33051
"Mesa, AZ",Mesa,AZ,1,1,0,-111.83146,33.41704
"Scottsdale, AZ",Scottsdale,AZ,1,1,0,-111.92069,33.494
"Sierra Vista, AZ",Sierra Vista,AZ,1,1,0,-110.27468,31.56942
"Acton, CA",Acton,CA,1,1,0,-118.19513,34.46815
"Anaheim, CA",Anaheim,CA,1,1,0,-117.91524,33.83286
"Baldwin Park, CA",Baldwin Park,CA,1,1,0,-117.96035,34.08536
"Chula Vista, CA",Chula Vista,CA,1,1,0,-117.08428,32.6409
"Costa Mesa, CA",Costa Mesa,CA,1,1,0,-117.90239,33.66389
"Garden Grove, CA",Garden Grove,CA,1,1,0,-117.93611,33.77607
"Harbor City, CA",Harbor City,CA,1,1,0,-118.30248,33.79781
"Hemet, CA",Hemet,CA,1,1,0,-116.9676,33.74937
"Huntington Beach, CA",Huntington Beach,CA,1,1,0,-118.00157,33.67893
"Lake View Terrace, CA",Lake View Terrace,CA,1,1,0,-118.3735,34.27453
"Long Beach, CA",Long Beach,CA,1,1,0,-118.1924,33.76672
"Mission Viejo, CA",Mission Viejo,CA,1,1,0,-117.67709,33.62007
"Moreno Valley, CA",Moreno Valley,CA,1,1,0,-117.26113,33.91684
"Ontario, CA",Ontario,CA,1,1,0,-117.6481,34.06457
"Pomona, CA",Pomona,CA,1,1,0,-117.75004,34.05499
"Rohnert Park, CA",Rohnert Park,CA,1,1,0,-122.71017,38.34242
"Roseville, CA",Roseville,CA,1,1,0,-121.28403,38.74897
"Sacramento, CA",Sacramento,CA,1,1,0,-121.49085,38.57944
"San Luis Obispo, CA",San Luis Obispo,CA,1,1,0,-120.66275,35.28579
"Santa Paula, CA",Santa Paula,CA,1,1,0,-119.05958,34.35215
"Soquel, CA",Soquel,CA,1,1,0,-121.95774,36.988
"Sun Valley, CA",Sun Valley,CA,1,1,0,-118.37035,34.2156
"Sunnyvale, CA",Sunnyvale,CA,1,1,0,-122.038,37.37172
"Tustin, CA",Tustin,CA,1,1,0,-117.81883,33.74425
"Upland, CA",Upland,CA,1,1,0,-117.65101,34.0994
"Westlake Village, CA",Westlake Village,CA,1,1,0,-118.81875,34.14987
"Woodside, CA",Woodside,CA,1,1,0,-122.2531,37.42931
"Littleton, CO",Littleton,CO,1,1,0,-105.01505,39.61691
"New Haven, CT",New Haven,CT,1,1,0,-72.92432,41.30801
"Boynton Beach, FL",Boynton Beach,FL,1,1,0,-80.06239,26.52891
"Hollywood, FL",Hollywood,FL,1,1,0,-80.16026,26.01067
"Homestead, FL",Homestead,FL,1,1,0,-80.46547,25.47655
"Orlando, FL",Orlando,FL,1,1,0,-81.37739,28.53823
"Saint Petersburg, FL",Saint Petersburg,FL,1,1,0,-82.67927,27.77086
"Tampa, FL",Tampa,FL,1,1,0,-82.45927,27.94653
"Buford, GA",Buford,GA,1,1,0,-84.00605,34.11928
"Columbus, GA",Columbus,GA,1,1,0,-84.98757,32.46288
"Stockbridge, GA",Stockbridge,GA,1,1,0,-84.22876,33.54382
"Winder, GA",Winder,GA,1,1,0,-83.72244,33.99125
"Woodstock, GA",Woodstock,GA,1,1,0,-84.51875,34.10291
"Peoria, IL",Peoria,IL,1,1,0,-89.58799,40.69236
"Wilmette, IL",Wilmette,IL,1,1,0,-87.70765,42.07568
"Indianapolis, IN",Indianapolis,IN,1,1,0,-86.15012,39.76691
"Neodesha, KS",Neodesha,KS,1,1,0,-95.67921,37.41752
"Township, KS",Township,KS,1,1,0,-99.41461919,39.39870316
"Wurtland, KY",Wurtland,KY,1,1,0,-82.78384,38.55008
"Welsh, LA",Welsh,LA,1,1,0,-92.82212,30.23218
"Canton, MA",Canton,MA,1,1,0,-71.13715,42.17328
"Medway, MA",Medway,MA,1,1,0,-71.4263,42.15248
"Mendon, MA",Mendon,MA,1,1,0,-71.55328,42.1073
"Milton, MA",Milton,MA,1,1,0,-71.07686,42.25617
"Worcester, MA",Worcester,MA,1,1,0,-71.79555,42.26633
"Chevy Chase, MD",Chevy Chase,MD,1,1,0,-77.07637,38.97122
"Greenbelt, MD",Greenbelt,MD,1,1,0,-76.88056,39.00079
"Rockville, MD",Rockville,MD,1,1,0,-77.15118,39.08196
"Westminster, MD",Westminster,MD,1,1,0,-76.99228,39.57465
"Brighton, MI",Brighton,MI,1,1,0,-83.78518,42.5308
"East Lansing, MI",East Lansing,MI,1,1,0,-84.48378,42.73779
"Grosse Ile Township, MI",Grosse Ile Township,MI,1,1,0,-83.16293,42.10771
"Troy, MI",Troy,MI,1,1,0,-83.15408,42.56238
"Circle Pines, MN",Circle Pines,MN,1,1,0,-93.15442,45.14374
"Rockingham, NC",Rockingham,NC,1,1,0,-79.77435,34.93601
"Cranford, NJ",Cranford,NJ,1,1,0,-74.30629,40.656
"Dover, NJ",Dover,NJ,1,1,0,-74.55868,40.88559
"New Brunswick, NJ",New Brunswick,NJ,1,1,0,-74.44384,40.49477
"Pine Brook, NJ",Pine Brook,NJ,1,1,0,-74.33964,40.86429
"Union City, NJ",Union City,NJ,1,1,0,-74.0247,40.77388
"Las Cruces, NM",Las Cruces,NM,1,1,0,-106.77785,32.30691
"North Las Vegas, NV",North Las Vegas,NV,1,1,0,-115.12228,36.20069
"Bayside, NY",Bayside,NY,1,1,0,-73.78068,40.77731
"Bronx, NY",Bronx,NY,1,1,0,-73.92309,40.826
"Central Islip, NY",Central Islip,NY,1,1,0,-73.21209,40.80227
"Elmont, NY",Elmont,NY,1,1,0,-73.7044,40.70754
"Riverhead, NY",Riverhead,NY,1,1,0,-72.66016,40.95036
"Cincinnati, OH",Cincinnati,OH,1,1,0,-84.45689,39.162
"Youngstown, OH",Youngstown,OH,1,1,0,-80.65079,41.0981
"Sandy, OR",Sandy,OR,1,1,0,-122.25898,45.39644
"Bristol, PA",Bristol,PA,1,1,0,-74.85718,40.09772
"Nashville, TN",Nashville,TN,1,1,0,-86.77816,36.16784
"Boerne, TX",Boerne,TX,1,1,0,-98.72933,29.78956
"Carrollton, TX",Carrollton,TX,1,1,0,-96.89023,32.97555
"Channelview, TX",Channelview,TX,1,1,0,-95.11205,29.77788
"Houston, TX",Houston,TX,1,1,0,-95.36952,29.76078
"San Antonio, TX",San Antonio,TX,1,1,0,-98.49461,29.42458
"Cedar Valley, UT",Cedar Valley,UT,1,1,0,-112.06783,40.39149
"Salt Lake City, UT",Salt Lake City,UT,1,1,0,-111.88822,40.76031
"Alexandria, VA",Alexandria,VA,1,1,0,-77.06981,38.80103
"Cana, VA",Cana,VA,1,1,0,-80.6718,36.58937
"Fairfax, VA",Fairfax,VA,1,1,0,-77.30905,38.84185
"Falls Church, VA",Falls Church,VA,1,1,0,-77.17362,38.88549
"Manassas, VA",Manassas,VA,1,1,0,-77.47086,38.75125
"Mechanicsville, VA",Mechanicsville,VA,1,1,0,-77.37875,37.61302
"Roanoke, VA",Roanoke,VA,1,1,0,-79.94057,37.27152
"Virginia Beach, VA",Virginia Beach,VA,1,1,0,-76.05962,36.75528
"Seattle, WA",Seattle,WA,1,1,0,-122.32945,47.60357
