Country,LATITUDE,LONGITUDE,TOTAL_ORGS,isCTR
AFG,34.5166902863,69.1832600493,2,0
ALB,41.3275407095,19.8188830146,5,0
DZA,36.763064798,3.0505525295,3,0
AND,42.5000014435,1.5164859605,4,0
AGO,-8.8382861136,13.2344270413,2,0
ATG,17.1180365183,-61.8500338151,2,0
ARG,-34.6025016085,-58.3975313737,4,0
ARM,40.1811507355,44.5135513904,10,0
AUS,-35.2830285454,149.129026244,7,0
AUT,48.2000152782,16.3666389554,8,0
AZE,40.3952720327,49.8622171619,8,0
BHR,26.2361362905,50.5830517159,2,0
BGD,23.7230597117,90.4085794667,3,0
BRB,13.1020025828,-59.6165267351,2,0
BLR,53.8999774364,27.5666271553,11,0
BEL,50.8333170767,4.3333166083,6,0
BLZ,17.2520335072,-88.7670729998,2,0
BEN,6.4000085642,2.5199905992,2,0
BTN,27.4729858592,89.639014037,2,0
BOL,-19.0409708467,-65.2595156267,2,0
BOL,-16.4979736137,-68.1499851905,2,0
BIH,43.850022399,18.383001667,5,0
BWA,-24.6463134574,25.9119477933,2,0
BRA,-15.7833402315,-47.9160522884,6,0
BRN,4.8833311146,114.933284057,4,0
BGR,42.6833494253,23.3166540107,6,0
BFA,12.3703159779,-1.5247237563,1,0
BDI,-3.3760872204,29.3600060615,2,0
KHM,11.5500301299,104.91663448,3,0
CMR,3.8667006621,11.5166507555,3,0
CAN,45.4166967967,-75.7000153012,7,0
CPV,14.9166980173,-23.516688885,2,0
CAF,4.3666443064,18.5582881253,2,0
TCD,12.1130965362,15.0491483141,2,0
CHL,-33.4500138155,-70.6670408546,4,0
CHN,39.9288922313,116.388285684,8,0
COL,4.5964235625,-74.0833439552,3,0
COM,-11.7041576957,43.2402440987,2,0
COG,-4.2591857718,15.2846894925,2,0
COD,-4.3297241019,15.3149718818,3,0
CRI,9.9350124297,-84.0840513527,2,0
HRV,45.8000067333,15.9999946682,3,0
CUB,23.1319588409,-82.3641821713,3,0
CYP,35.1666764517,33.3666348864,4,0
CZE,50.0833370149,14.4659797757,3,0
DNK,55.6785641904,12.5634857473,4,0
DJI,11.5950144643,43.1480016671,2,0
DMA,15.3010156443,-61.3870129818,2,0
DOM,18.4700728546,-69.9000850847,2,0
TLS,-8.5593884086,125.579455932,2,0
ECU,-0.2149881807,-78.5000511085,3,0
EGY,30.0499603465,31.2499682197,3,0
SLV,13.7100016469,-89.2030412208,2,0
GNQ,3.750015278,8.7832775458,2,0
ERI,15.3333392527,38.9333235258,2,0
EST,59.4338773795,24.7280407295,4,0
ETH,9.0333103627,38.700004434,3,0
FSM,6.916643696,158.149974324,2,0
FJI,-18.1330159314,178.441707315,2,0
FIN,60.175563374,24.9341263415,7,0
FRA,48.8666929312,2.3333353257,7,0
GAB,0.3853886097,9.4579650458,2,0
GEO,41.7250099885,44.7907954496,7,0
DEU,52.5218186636,13.4015486233,7,0
GHA,5.5500346058,-0.2167157404,2,0
GRC,37.9833262319,23.7333210843,5,0
GRD,12.0526334017,-61.7416432261,2,0
GTM,14.6211346628,-90.5269655779,2,0
GIN,9.5315228464,-13.6802350275,2,0
GNB,11.865023823,-15.5983608413,2,0
GUY,6.8019736928,-58.1670286475,2,0
HTI,18.5410245961,-72.3360345883,2,0
HND,14.1020449005,-87.2175293393,2,0
HUN,47.5000063264,19.0833206774,5,0
ISL,64.1500236197,-21.9500144872,4,0
IND,28.6000230092,77.1999800201,7,0
IDN,-6.1744177054,106.829437621,6,0
IRN,35.6719427684,51.4243440336,3,0
IRQ,33.3386484975,44.3938687732,3,0
IRL,53.333061136,-6.2489056818,8,0
ISR,31.7784078156,35.2066259346,4,0
ITA,41.8959556265,12.4832584215,7,0
CIV,5.3199969675,-4.0400482599,2,0
CIV,6.81838096,-5.2755025649,2,0
JAM,17.9770766238,-76.7674337137,2,0
JPN,35.6850169058,139.751407429,7,0
JOR,31.9500252472,35.9332999255,2,0
KAZ,51.1811253043,71.4277742095,11,0
KEN,-1.2833467419,36.8166568591,3,0
KIR,1.3381875056,173.017570829,2,0
KOS,42.6667096141,21.1659842516,2,0
KWT,29.36971763,47.9783011462,2,0
KGZ,42.8730794465,74.5852042225,10,0
LAO,17.9666927276,102.59998002,3,0
LVA,56.9500238232,24.0999653714,4,0
LBN,33.871975117,35.50970821,2,0
LSO,-29.3166743787,27.48327307,1,0
LBR,6.3105566599,-10.8047516291,1,0
LBY,32.8925000194,13.1800117581,2,0
LIE,47.1337237743,9.5166694729,4,0
LTU,54.6833663118,25.3166352933,4,0
LUX,49.6116603791,6.1300028062,4,0
MKD,42.0000061229,21.4334614651,3,0
MDG,-18.9166373506,47.5166239001,2,0
MWI,-13.9832950655,33.78330196,1,0
MYS,3.1666658721,101.699983275,5,0
MDV,4.1667081898,73.499947468,2,0
MLI,12.6500146677,-8.0000391046,2,0
MLT,35.8997324819,14.5147106513,6,0
MHL,7.1030043112,171.380000176,2,0
MRT,18.0864270212,-15.9753404149,2,0
MUS,-20.1666385714,57.4999938546,2,0
MEX,19.4424424428,-99.1309882017,5,0
MDA,47.0050236197,28.8577111397,9,0
MCO,43.7396456879,7.4069131735,4,0
MNG,47.9166733999,106.916615762,3,0
MNE,42.4659725129,19.2663069241,3,0
MAR,34.0252990916,-6.8361308201,3,0
MOZ,-25.9552774874,32.5891629626,2,0
MMR,19.7665570261,96.1186185292,4,0
NAM,-22.5700060844,17.0835461005,2,0
NPL,27.7166919139,85.3166422108,2,0
NLD,52.3499686881,4.916640176,6,0
NZL,-41.2999739393,174.783274291,5,0
NIC,12.1530165801,-86.2684916603,2,0
NER,13.5167059519,2.1166560451,1,0
NGA,9.0833331491,7.5333280016,3,0
PRK,39.0194386994,125.754690714,3,0
NOR,59.9166902864,10.749979206,6,0
OMN,23.6133248077,58.5933121326,2,0
PAK,33.6999959503,73.1666344797,4,0
PLW,7.487396173,134.626548467,2,0
PAN,8.9680171905,-79.5330371518,2,0
PNG,-9.4647078259,147.192503621,2,0
PRY,-25.2964029757,-57.6415051693,2,0
PER,-12.0480126761,-77.0500620948,4,0
PHL,14.6041589548,120.982217162,4,0
POL,52.2500006298,20.9999995511,5,0
PRT,38.7227228779,-9.1448663055,4,0
QAT,25.2865560089,51.5329678943,2,0
ROU,44.4333718049,26.099946654,6,0
RUS,55.7521641226,37.6155228259,19,1
RWA,-1.9535900687,30.0605317777,2,0
KNA,17.3020304555,-62.7170093197,2,0
LCA,14.0019734893,-61.0000081804,2,0
VCT,13.1482788279,-61.2120624203,2,0
WSM,-13.8415450424,-171.738641609,2,0
SMR,43.9171500845,12.4666702867,4,0
STP,0.3334021188,6.7333251532,2,0
SAU,24.6408331492,46.7727416573,3,0
SEN,14.715831725,-17.4731301284,3,0
SRB,44.8186454458,20.4679906806,7,0
SYC,-4.616631654,55.4499897856,2,0
SLE,8.4700114125,-13.2342157404,1,0
SGP,1.2930334665,103.855820678,4,0
SVK,48.15001833,17.1169807522,4,0
SVN,46.0552883088,14.5149690335,4,0
SLB,-9.4379942951,159.949765734,2,0
SOM,2.0666813343,45.3666776111,1,0
SOL,9.5600223988,44.0653100167,2,0
ZAF,-33.9200109672,18.4349881578,5,0
KOR,37.5663490998,126.999730997,7,0
ESP,40.4000262645,-3.683351686,6,0
LKA,6.9319657582,79.8577506093,3,0
SDN,15.5880782257,32.5341792386,2,0
SUR,5.8350301299,-55.1670308854,2,0
SWZ,-26.3166507784,31.1333345121,1,0
SWE,59.3507599543,18.0973347328,8,0
CHE,46.9166827587,7.4669754625,8,0
SYR,33.5000339956,36.299995889,3,0
TWN,25.0358333333,121.5683333333,3,0
TJK,38.5600352163,68.7738793527,8,0
TZA,-6.8000125947,39.2683418363,2,0
THA,13.7499992055,100.516644652,4,0
BHS,25.0833901154,-77.3500437843,2,0
GMB,13.4538764603,-16.5917014892,2,0
TGO,6.1319370717,1.2227571194,1,0
TON,-21.1385123567,-175.220564478,2,0
TTO,10.6519970896,-61.5170308854,2,0
TUN,36.8027781362,10.1796780992,3,0
TUR,39.9272385855,32.864391641,7,0
TKM,37.9499949331,58.3832991118,4,0
TUV,-8.516651999,179.216647094,2,0
UGA,0.3166589548,32.5833235257,2,0
UKR,50.433367329,30.5166279691,9,0
ARE,24.4666835724,54.3665933826,2,0
GBR,51.4999947297,-0.1167218439,7,0
USA,38.8995493765,-77.0094185808,8,0
URY,-34.8580415662,-56.1710522884,2,0
UZB,41.311701883,69.2949328195,8,0
VUT,-17.733350404,168.316640584,2,0
VAT,41.9000122264,12.4478083889,3,0
VEN,10.5009985544,-66.9170371924,2,0
VNM,21.0333272491,105.8500142,5,0
YEM,15.3547332957,44.2065933826,2,0
ZMB,-15.4166442679,28.2833275947,2,0
ZWE,-17.8177896944,31.0447094307,3,0
HKG,22.304980895,114.185009317,2,0
