"","Return.Kiosk.ID","n","isCTR","Kiosk.Name","Kiosk.Status","Latitude","Longitude","Location"
"1","2494","39","0","2nd & Congress","active",30.26408,-97.74355,"(30.26408, -97.74355)"
"2","2495","65","0","4th & Congress","active",30.26634,-97.74378,"(30.26634, -97.74378)"
"3","2496","109","0","8th & Congress","active",30.2698,-97.74186,"(30.2698, -97.74186)"
"4","2497","302","0","Capitol Station / Congress & 11th","active",30.2726,-97.74127,"(30.2726, -97.74127)"
"5","2498","41","0","Convention Center / 4th St. @ MetroRail","active",30.26483,-97.739,"(30.26483, -97.739)"
"6","2499","77","0","City Hall / Lavaca & 2nd","active",30.26476,-97.74678,"(30.26476, -97.74678)"
"7","2501","81","0","5th & Bowie","active",30.2696,-97.75332,"(30.2696, -97.75332)"
"8","2502","26","0","Barton Springs & Riverside","active",30.2587,-97.74872,"(30.2587, -97.74872)"
"9","2503","26","0","South Congress & James","active",30.25103,-97.74926,"(30.25103, -97.74926)"
"10","2504","23","0","South Congress & Elizabeth","active",30.24891,-97.75019,"(30.24891, -97.75019)"
"11","2537","42","0","West & 6th St.","active",30.27041,-97.75046,"(30.27041, -97.75046)"
"12","2539","88","0","Convention Center / 3rd & Trinity","active",30.26426,-97.74023,"(30.26426, -97.74023)"
"13","2540","517","0","17th & Guadalupe","active",30.27974,-97.74254,"(30.27974, -97.74254)"
"14","2542","28","0","Plaza Saltillo","active",30.26217,-97.72743,"(30.26217, -97.72743)"
"15","2544","7","0","East 6th & Pedernales St.","active",30.25895,-97.71475,"(30.25895, -97.71475)"
"16","2547","4395","0","Guadalupe & 21st","active",30.28395,-97.74198,"(30.28395, -97.74198)"
"17","2548","4540","0","UT West Mall @ Guadalupe","active",30.28576,-97.74181,"(30.28576, -97.74181)"
"18","2549","52","0","Long Center @ South 1st & Riverside","active",30.25941,-97.74971,"(30.25941, -97.74971)"
"19","2552","115","0","3rd & West","active",30.2678,-97.75189,"(30.2678, -97.75189)"
"20","2561","118","0","State Capitol Visitors Garage @ San Jacinto & 12th","active",30.27336,-97.73805,"(30.27336, -97.73805)"
"21","2562","92","0","San Jacinto & 8th Street","active",30.26912,-97.73986,"(30.26912, -97.73986)"
"22","2563","30","0","Davis at Rainey Street","active",30.26019,-97.73845,"(30.26019, -97.73845)"
"23","2565","48","0","Trinity & 6th Street","active",30.26735,-97.73933,"(30.26735, -97.73933)"
"24","2566","61","0","Pfluger Bridge @ W 2nd Street","active",30.26717,-97.75484,"(30.26717, -97.75484)"
"25","2567","25","0","Palmer Auditorium","active",30.25971,-97.75346,"(30.25971, -97.75346)"
"26","2568","15","0","East 11th St. at Victory Grill","active",30.26896,-97.72843,"(30.26896, -97.72843)"
"27","2569","62","0","East 11th St. & San Marcos","active",30.26968,-97.73074,"(30.26968, -97.73074)"
"28","2570","40","0","South Congress & Academy","active",30.25226,-97.74854,"(30.25226, -97.74854)"
"29","2571","32","0","Red River & 8th Street","active",30.26854,-97.73646,"(30.26854, -97.73646)"
"30","2572","12","0","Barton Springs Pool","active",30.26452,-97.7712,"(30.26452, -97.7712)"
"31","2574","35","0","Zilker Park","active",30.2659,-97.76822,"(30.2659, -97.76822)"
"32","2575","54","0","Riverside @ S. Lamar","active",30.26446,-97.75665,"(30.26446, -97.75665)"
"33","2707","25","0","Rainey St @ Cummings","active",30.25579,-97.73982,"(30.25579, -97.73982)"
"34","2711","29","0","Barton Springs @ Kinney Ave","active",30.262,-97.76118,"(30.262, -97.76118)"
"35","2822","12","0","East 6th at Robert Martinez","active",30.26032,-97.71899,"(30.26032, -97.71899)"
"36","2823","8","0","Capital Metro HQ - East 5th at Broadway","active",30.2563,-97.71007,"(30.2563, -97.71007)"
"37","3291","25","0","11th & San Jacinto","active",30.27193,-97.73854,"(30.27193, -97.73854)"
"38","3292","12","0","East 4th & Chicon","active",30.25987,-97.72373,"(30.25987, -97.72373)"
"39","3293","7","0","East 2nd & Pedernales","active",30.25542,-97.71665,"(30.25542, -97.71665)"
"40","3294","36","0","Lavaca & 6th","active",30.26911,-97.7462,"(30.26911, -97.7462)"
"41","3377","46","0","MoPac Pedestrian Bridge @ Veterans Drive","active",30.27466,-97.77028,"(30.27466, -97.77028)"
"42","3390","84","0","Brazos & 6th","active",30.26754,-97.74154,"(30.26754, -97.74154)"
"43","3455","62","0","Republic Square @ 5th & Guadalupe","active",30.26753,-97.74805,"(30.26753, -97.74805)"
"44","3513","28","0","South Congress & Barton Springs at the Austin American-Statesman","active",30.25839,-97.74592,"(30.25839, -97.74592)"
"45","3619","155","0","6th & Congress","active",30.26822,-97.74285,"(30.26822, -97.74285)"
"46","3621","111","0","Nueces & 3rd","active",30.26697,-97.74929,"(30.26697, -97.74929)"
"47","3635","48","0","13th & San Antonio","active",30.27616,-97.74488,"(30.27616, -97.74488)"
"48","3660","16","0","Medina & East 6th","active",30.26455,-97.73165,"(30.26455, -97.73165)"
"49","3684","74","0","Congress & Cesar Chavez","active",30.26332,-97.74508,"(30.26332, -97.74508)"
"50","3685","71","0","Henderson & 9th","active",30.27217,-97.75246,"(30.27217, -97.75246)"
"51","3686","28","0","Sterzing at Barton Springs","active",30.26406,-97.76385,"(30.26406, -97.76385)"
"52","3687","11","0","Boardwalk West","active",30.25457,-97.74258,"(30.25457, -97.74258)"
"53","3790","26","0","Lake Austin Blvd @ Deep Eddy","active",30.27807,-97.77272,"(30.27807, -97.77272)"
"54","3791","13","0","Lake Austin & Enfield","active",30.29439,-97.78375,"(30.29439, -97.78375)"
"55","3792","6057","0","22nd & Pearl","active",30.2853,-97.7467,"(30.2853, -97.7467)"
"56","3793","3555","0","Rio Grande & 28th","active",30.29333,-97.74412,"(30.29333, -97.74412)"
"57","3794","11903","0","Dean Keeton & Speedway","active",30.28953,-97.73695,"(30.28953, -97.73695)"
"58","3795","7941","0","Dean Keeton & Whitis","active",30.2898,-97.74041,"(30.2898, -97.74041)"
"59","3797","1109","0","21st & University","active",30.28354,-97.73953,"(30.28354, -97.73953)"
"60","3798","13109","0","21st & Speedway @PCL","active",30.283,-97.7375,"(30.283, -97.7375)"
"61","3799","3788","0","23rd & San Jacinto @ DKR Stadium","active",30.2856,-97.7335,"(30.2856, -97.7335)"
"62","3838","4399","0","Nueces & 26th","active",30.29068,-97.74292,"(30.29068, -97.74292)"
"63","3841","6829","0","23rd & Rio Grande","active",30.28728,-97.74495,"(30.28728, -97.74495)"
"64","4047","1","0","8th & Lavaca","active",30.27059,-97.74441,"(30.27059, -97.74441)"
"65","4048","6","0","South Congress @ Bouldin Creek","active",30.25495,-97.74755,"(30.25495, -97.74755)"
"66","4050","24","0","5th & Campbell","active",30.27489,-97.76483,"(30.27489, -97.76483)"
"67","4051","12","0","10th & Red River","active",30.27024,-97.73578,"(30.27024, -97.73578)"
"68","4052","21","0","Rosewood & Angelina","active",30.26888,-97.72431,"(30.26888, -97.72431)"
"69","4054","3","0","Rosewood & Chicon","active",30.26969,-97.71873,"(30.26969, -97.71873)"
"70","4055","39","0","11th & Salina","active",30.26638,-97.7214,"(30.26638, -97.7214)"
"71","4057","8","0","6th & Chalmers","active",30.26269,-97.72438,"(30.26269, -97.72438)"
"72","4058","2","0","Hollow Creek & Barton Hills","active",30.26139,-97.77234,"(30.26139, -97.77234)"
"73","4059","2","0","Nash Hernandez @ RBJ South","active",30.25189,-97.73323,"(30.25189, -97.73323)"
"74","4060","7","0","Red River/Cesar Chavez @ The Fairmont","active",30.26212,-97.73815,"(30.26212, -97.73815)"
"75","4061","5","0","Lakeshore @ Austin Hostel","active",30.24472,-97.72336,"(30.24472, -97.72336)"
"76","4062","16","0","Lakeshore & Pleasant Valley","active",30.24258,-97.71726,"(30.24258, -97.71726)"
"77",,"1839","0",,,,,
"78","3798","0","1","21st & Speedway @PCL","active",30.283,-97.7375,"(30.283, -97.7375)"
